Timestamp,Packet_Size,Src_IP,Dst_IP,Src_Port,Dst_Port,TCP_Flags,App
1740728636.671055,890,142.250.75.78,192.168.100.93,443,62100,PA,Chrome
1740728636.671107,54,192.168.100.93,142.250.75.78,62100,443,A,Chrome
1740728636.672092,128,192.168.100.93,142.250.75.78,62100,443,PA,Chrome
1740728636.680544,60,142.250.75.170,192.168.100.93,443,62101,A,Chrome
1740728636.681255,60,142.250.75.170,192.168.100.93,443,62101,A,Chrome
1740728636.681836,60,142.250.75.78,192.168.100.93,443,62100,A,Chrome
1740728636.681836,1012,142.250.75.78,192.168.100.93,443,62100,PA,Chrome
1740728636.734525,1454,142.250.75.170,192.168.100.93,443,62101,A,Chrome
1740728636.734525,1454,142.250.75.170,192.168.100.93,443,62101,PA,Chrome
1740728636.734682,54,192.168.100.93,142.250.75.170,62101,443,A,Chrome
1740728636.734889,1454,142.250.75.170,192.168.100.93,443,62101,A,Chrome
1740728636.734889,1454,142.250.75.170,192.168.100.93,443,62101,PA,Chrome
1740728636.734999,54,192.168.100.93,142.250.75.170,62101,443,A,Chrome
1740728636.735042,1454,142.250.75.170,192.168.100.93,443,62101,A,Chrome
1740728636.735331,1454,142.250.75.170,192.168.100.93,443,62101,PA,Chrome
1740728636.735331,1454,142.250.75.170,192.168.100.93,443,62101,A,Chrome
1740728636.735397,54,192.168.100.93,142.250.75.170,62101,443,A,Chrome
1740728636.735887,54,192.168.100.93,142.250.75.78,62100,443,A,Chrome
1740728636.736129,1148,142.250.75.170,192.168.100.93,443,62101,PA,Chrome
1740728636.736164,54,192.168.100.93,142.250.75.170,62101,443,A,Chrome
1740728636.736785,128,192.168.100.93,142.250.75.170,62101,443,PA,Chrome
1740728636.746375,60,142.250.75.170,192.168.100.93,443,62101,A,Chrome
1740728636.746375,1040,142.250.75.170,192.168.100.93,443,62101,PA,Chrome
1740728636.767969,66,192.168.100.93,142.250.75.97,62102,443,S,Chrome
1740728636.779011,66,142.250.75.97,192.168.100.93,443,62102,SA,Chrome
1740728636.779128,54,192.168.100.93,142.250.75.97,62102,443,A,Chrome
1740728636.779854,1789,192.168.100.93,142.250.75.97,62102,443,PA,Chrome
1740728636.790868,60,142.250.75.97,192.168.100.93,443,62102,A,Chrome
1740728636.791262,60,142.250.75.97,192.168.100.93,443,62102,A,Chrome
1740728636.79867,54,192.168.100.93,142.250.75.170,62101,443,A,Chrome
1740728636.844579,1454,142.250.75.97,192.168.100.93,443,62102,A,Chrome
1740728636.844579,1454,142.250.75.97,192.168.100.93,443,62102,PA,Chrome
1740728636.84462,54,192.168.100.93,142.250.75.97,62102,443,A,Chrome
1740728636.845302,1454,142.250.75.97,192.168.100.93,443,62102,A,Chrome
1740728636.845302,1454,142.250.75.97,192.168.100.93,443,62102,PA,Chrome
1740728636.845302,1454,142.250.75.97,192.168.100.93,443,62102,A,Chrome
1740728636.845302,1454,142.250.75.97,192.168.100.93,443,62102,PA,Chrome
1740728636.845373,54,192.168.100.93,142.250.75.97,62102,443,A,Chrome
1740728636.845511,1454,142.250.75.97,192.168.100.93,443,62102,A,Chrome
1740728636.845511,712,142.250.75.97,192.168.100.93,443,62102,PA,Chrome
1740728636.845538,54,192.168.100.93,142.250.75.97,62102,443,A,Chrome
1740728636.84597,128,192.168.100.93,142.250.75.97,62102,443,PA,Chrome
1740728636.862831,60,142.250.75.97,192.168.100.93,443,62102,A,Chrome
1740728636.862831,1034,142.250.75.97,192.168.100.93,443,62102,PA,Chrome
1740728636.904993,54,192.168.100.93,142.250.75.97,62102,443,A,Chrome
1740728637.259024,55,192.168.100.93,20.189.173.23,62063,443,A,Chrome
1740728637.474701,66,20.189.173.23,192.168.100.93,443,62063,A,Chrome
1740728637.662085,66,192.168.100.93,142.250.75.78,62104,443,S,Chrome
1740728637.672955,66,142.250.75.78,192.168.100.93,443,62104,SA,Chrome
1740728637.673038,54,192.168.100.93,142.250.75.78,62104,443,A,Chrome
1740728637.674205,1811,192.168.100.93,142.250.75.78,62104,443,PA,Chrome
1740728637.685683,60,142.250.75.78,192.168.100.93,443,62104,A,Chrome
1740728637.686048,60,142.250.75.78,192.168.100.93,443,62104,A,Chrome
1740728637.739112,1454,142.250.75.78,192.168.100.93,443,62104,A,Chrome
1740728637.739112,1454,142.250.75.78,192.168.100.93,443,62104,PA,Chrome
1740728637.73923,54,192.168.100.93,142.250.75.78,62104,443,A,Chrome
1740728637.739492,1454,142.250.75.78,192.168.100.93,443,62104,A,Chrome
1740728637.739492,1454,142.250.75.78,192.168.100.93,443,62104,PA,Chrome
1740728637.739492,1454,142.250.75.78,192.168.100.93,443,62104,A,Chrome
1740728637.739492,726,142.250.75.78,192.168.100.93,443,62104,PA,Chrome
1740728637.739628,54,192.168.100.93,142.250.75.78,62104,443,A,Chrome
1740728637.741777,118,192.168.100.93,142.250.75.78,62104,443,PA,Chrome
1740728637.75076,60,142.250.75.78,192.168.100.93,443,62104,A,Chrome
